,ProductName,ProductPrice,ProductDiscount
91,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
92,Club II Era YoS Casuals For Men,"₹5,499","₹3,024"
93,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
94,UP Casuals For Men,"₹3,999","₹2,199"
95,Doublecourt Sneakers For Men,"₹8,999","₹4,949"
96,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
97,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
98,Softride Enzo Evo Camo Running Shoes For Men,"₹6,999","₹3,849"
99,Puma Propelix Sneakers For Men,"₹4,499","₹2,115"
100,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
101,Puma Exotine 2.0 IDP Running Shoes For Men,"₹3,799","₹4,999"
102,Nomic Sneakers For Men,"₹3,799","₹1,786"
103,Ad-court Badminton Shoes For Men,"₹3,999","₹2,279"
104,Hustle V2 IDP Running Shoes For Men,"₹7,999","₹1,199"
105,Voltaic Evo Running Shoes For Men,"₹3,999","₹4,399"
106,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
107,Zod Runner V3 IDP Casuals For Men,"₹5,499","₹2,399"
108,FlexFocus Lite Running Shoes For Men,"₹3,999","₹3,024"
109,Puma Bazin IDP Running Shoes For Men,"₹5,499","₹2,199"
110,Exotine 2.0 Running Shoes For Men,"₹7,999","₹4,999"
111,Liberate Nitro 2 Running Shoes For Men,"₹5,999","₹10,999"
112,Club II Year Of Sports Casuals For Men,"₹3,999","₹3,024"
113,X-Ray 2 Square Casuals For Men,"₹7,999","₹4,399"
114,Caven 2.0 Sneakers For Men,"₹11,999","₹2,820"
115,Pacer Slip on V3 Casuals For Men,"₹4,999","₹2,199"
116,X-Ray 3 Casuals For Men,"₹5,499","₹4,399"
117,PUMA Spike 22.1 Cricket Shoes For Men,NA,"₹5,640"
118,Cricket Power Cricket Shoes For Men,NA,"₹2,749"
119,Puma Rickie Walking Shoes For Men,NA,"₹2,909"
120,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
121,Bazin Running Shoes For Men,"₹3,999","₹1,999"
122,Puma Rickie Walking Shoes For Men,"₹5,499","₹2,909"
123,X-Ray 3 SD Casuals For Men,"₹7,999","₹4,399"
124,FlexFocus Lite Better Knit Running Shoes For Men,"₹5,999","₹3,299"
125,Puma Shuffle Ultra Sneakers For Men,"₹4,999","₹1,699"
126,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
127,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
128,Smashic Sneakers For Men,"₹4,499","₹2,249"
129,FlexFocus Lite Running Shoes For Men,"₹5,499","₹3,299"
130,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
131,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
132,Puma Wish Max Sneakers For Men,"₹4,499","₹1,799"
133,Cricket Square Cricket Shoes For Men,"₹4,999","₹2,399"
134,R78 Year Of Sports Casuals For Men,"₹6,499","₹3,574"
135,Zod Runner V3 IDP Casuals For Men,"₹3,999","₹2,399"
136,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
137,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
138,Pacer Fire IDP Sneakers For Men,"₹4,499","₹2,115"
139,Hustle V2 IDP Running Shoes For Men,"₹3,999","₹1,199"
140,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
141,Puma Exotine 2.0 IDP Running Shoes For Men,"₹4,299","₹4,999"
142,Puma Cave V2 Casuals For Men,"₹4,499","₹2,021"
143,Wish Max Sneakers For Men,"₹5,999","₹1,799"
144,FlexFocus Lite Better Knit Running Shoes For Men,"₹4,499","₹3,299"
145,Smashic Sneakers For Men,"₹3,999","₹2,241"
146,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
147,Zod Runner V3 IDP Casuals For Men,"₹7,999","₹2,399"
148,X-Ray 3 SD Casuals For Men,"₹4,999","₹4,399"
149,Smash V2 L Sneakers For Men,"₹4,499","₹2,749"
150,Exotine 2.0 Running Shoes For Men,"₹3,499","₹4,999"
151,Liberate Nitro 2 Running Shoes For Men,"₹4,499","₹10,999"
152,Smash V2 Buck Sneakers For Men,"₹7,999","₹2,699"
153,Puma Dryflex IDP Running Shoes For Men,"₹7,999","₹1,396"
154,ATTACANTO FG/AG Football Shoes For Men,"₹11,999","₹2,249"
155,X-Ray 2 Square Casuals For Men,"₹3,999","₹4,399"
156,X-Ray 3 Casuals For Men,"₹2,699","₹4,399"
157,PUMA Spike 22.1 Cricket Shoes For Men,NA,"₹5,640"
158,Trackracer 2.0 IDP Sneakers For Men,NA,"₹2,199"
159,Essex Comfort Running Shoes For Men,NA,"₹1,299"
160,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
161,Bazin Running Shoes For Men,"₹3,999","₹1,999"
162,Club 5v5 Lux OG Casuals For Men,"₹6,999","₹3,849"
163,Court Ultra Lite Sneakers For Men,"₹5,999","₹3,179"
164,Caven 2.0 Abrupt Casuals For Men,"₹6,499","₹3,574"
165,Caven 2.0 Sneakers For Men,"₹5,999","₹3,599"
166,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
