ProductName,ProductPrice,ProductDiscount,Brand,Gender
Gladde Walk W Walking Shoes For Women,9999,3249,Adidas,Women
SPEEDMOTION Running Shoes For Women,6599,5399,Adidas,Women
LITE RACER 3.0 Running Shoes For Women,3299,4999,Adidas,Women
UBOUNCE DNA Running Shoes For Women,11999,5999,Adidas,Women
ADISTAR TD Running Shoes For Women,8999,5599,Adidas,Women
Adi Zoom W Running Shoes For Women,6599,1979,Adidas,Women
SUPERNOVA 2 X PARLEY W Running Shoes For Women,2499,4999,Adidas,Women
TERREX TRACEROCKER 2 W Running Shoes For Women,7999,3859,Adidas,Women
ADVANTAGE BASE Sneakers For Women,5999,3829,Adidas,Women
BreezeWalk W Walking Shoes For Women,6999,1499,Adidas,Women
COURT PLATFORM Sneakers For Women,4599,4619,Adidas,Women
BREAKNET 2.0 Tennis Shoes For Women,7599,3299,Adidas,Women
NEBZED W Running Shoes For Women,3989,3989,Adidas,Women
HOOPS 3.0 W Basketball Shoes For Women,3431,3431,Adidas,Women
AzureWalk W Walking Shoes For Women,2529,2529,Adidas,Women
SheenWalk W Walking Shoes For Women,2999,2999,Adidas,Women
Running Shoes For Women,4799,4799,Adidas,Women
UB21 TD Running Shoes For Women,7999,4399,Adidas,Women
KANTANA Tennis Shoes For Women,8599,3979,Adidas,Women
ULTRABOOST 23 W Running Shoes For Women,18999,11399,Adidas,Women
SOLARBOOST 5 W Running Shoes For Women,16999,8389,Adidas,Women
Duramo SL W Running Shoes For Women,6599,2999,Adidas,Women
TUBULAR INVADER 2.0 Sneakers For Women,8999,5399,Adidas,Women
COURT PLATFORM SUEDE Sneakers For Women,6999,4199,Adidas,Women
HOOPS 3.0 BOLD W Basketball Shoes For Women,7999,4799,Adidas,Women
Ligra 7 W Badminton Shoes For Women,8999,5999,Adidas,Women
Planet Z Omega Running Shoes For Women,5999,4500,Adidas,Women
GALAXY 6 W Running Shoes For Women,7999,3299,Adidas,Women
UB21 TD Running Shoes For Women,5599,3904,Adidas,Women
RUNFALCON 3.0 W Running Shoes For Women,3799,6599,Adidas,Women
Puremotion Adapt Walking Shoes For Women,9999,3359,Adidas,Women
Contem X Walking Shoes For Women,13999,2089,Adidas,Women
ADIDAS SWITCH FWD W Running Shoes For Women,5999,8119,Adidas,Women
UBOUNCE DNA Running Shoes For Women,7999,5199,Adidas,Women
GALAXY 6 W Running Shoes For Women,17999,3899,Adidas,Women
