ProductName,ProductPrice,ProductDiscount,Brand,Gender
Trinity Sneakers For Men,7999,4799,Puma,Men
Cricket Square Cricket Shoes For Men,7999,3299,Puma,Men
PUMA Smash 3.0 Sneakers For Men,11999,3024,Puma,Men
Essex Comfort Walking Shoes For Men,6999,1299,Puma,Men
Club 5v5 Sneakers For Men,3290,3290,Puma,Men
Puma Deuce Badminton Shoes For Men,2199,2199,Puma,Men
Voltaic Evo Running Shoes For Men,7999,4399,Puma,Men
BMW MMS Suede T Casuals For Men,9999,5499,Puma,Men
R78 Casuals For Men,5999,3299,Puma,Men
Disperse XT 3 Hyperwave Training & Gym Shoes For Men,5999,3599,Puma,Men
Puma Alfarun Sneakers For Men,4999,2499,Puma,Men
Puma Rock V1 Sneakers For Men,5499,3299,Puma,Men
Caven 2.0 Lux Casuals For Men,4499,3574,Puma,Men
Robust V2 Sneakers For Men,2799,1659,Puma,Men
ST Activate Walking Shoes For Men,4499,1619,Puma,Men
Puma Buzz Casuals For Men,3999,2699,Puma,Men
Anzarun Camo Sneakers For Men,9999,2449,Puma,Men
CA Pro Classic Podium Casuals For Men,4499,5499,Puma,Men
Puma Tread Run Sneakers For Men,5499,2699,Puma,Men
Anzarun Camo Sneakers For Men,7999,2749,Puma,Men
Bazin Running Shoes For Men,11999,2199,Puma,Men
ST Runner v3 L Sneakers For Men,5499,2678,Puma,Men
Disperse XT Men's Training & Gym Shoes For Men,3024,3024,Puma,Men
Softride Enzo Evo Better Remix Walking Shoes For Men,3849,3849,Puma,Men
Extend Lite Trail Running Shoes For Men,5999,3299,Puma,Men
Spike 22.2 Casuals For Men,7499,4385,Puma,Men
Puma Alfarun Hyperwave Sneakers For Men,3999,2399,Puma,Men
Puma Caven 2.0 Sneakers For Men,5999,3599,Puma,Men
Puma Flyumph Sneakers For Men,3999,2199,Puma,Men
CA Pro Classic Contour Casuals For Men,7999,4399,Puma,Men
Smash V2 L Sneakers For Men,4999,2749,Puma,Men
Puma Rebound Future NextGen Sneakers For Men,7999,4399,Puma,Men
Mercedes-AMGSuede T Casuals For Men,9999,5499,Puma,Men
VITORIA TT Football Shoes For Men,4499,2474,Puma,Men
Puma Impel Casuals For Men,5499,2486,Puma,Men
FTR Xtraflow IDP Running Shoes For Men,3999,3024,Puma,Men
Pacer Slip on V3 Sneakers For Men,3999,2399,Puma,Men
Serve Pro Lite Sneakers For Men,5499,2474,Puma,Men
Scorch Mark Slip On Sneakers For Men,4499,2089,Puma,Men
Puma Sprinter Casuals For Men,3999,2115,Puma,Men
Puma X-Ray Declan One8 Sneakers For Men,7999,2999,Puma,Men
Puma Rungryp Sneakers For Men,11999,2599,Puma,Men
Puma Tychonic Sneakers For Men,3999,1880,Puma,Men
Daze V2 Sneakers For Men,1960,1960,Puma,Men
Caven 2.0 Abrupt Casuals For Men,3574,3574,Puma,Men
Grand Slipon Walking Shoes For Men,3499,1924,Puma,Men
Dare Walking Shoes For Men,3999,1999,Puma,Men
Doublecourt PRM Sneakers For Men,8999,4949,Puma,Men
VITORIA IT Football Shoes For Men,4499,2474,Puma,Men
X-Ray Speed Casuals For Men,3999,3849,Puma,Men
Hustle V2 IDP Casuals For Men,8999,2399,Puma,Men
Redeem Pro Racer Running Shoes For Men,4999,4949,Puma,Men
Puma Buzz Casuals For Men,7999,1299,Puma,Men
Badminton Smash Sprint Running Shoes For Men,3999,2649,Puma,Men
Puma Flyumph Sneakers For Men,4499,2199,Puma,Men
RBD Game WTR Sneakers For Men,11999,4799,Puma,Men
Puma Fierce runner Running Shoes For Men,7999,2559,Puma,Men
Tour Running Shoes For Men,8999,1929,Puma,Men
PUMA Spike 22.1 Cricket Shoes For Men,4999,5640,Puma,Men
Future Rider Override Sneakers For Men,5399,5399,Puma,Men
Neostep One8 Sneakers For Men,2749,2749,Puma,Men
Scorch Mark Slip On Sneakers For Men,5499,2089,Puma,Men
PUMA Fireball Casuals For Men,4299,2235,Puma,Men
Anzarun 2.0 Casuals For Men,6999,3849,Puma,Men
Puma Static Casuals For Men,3999,1880,Puma,Men
Dexster Slip On IDP Sneakers For Men,3999,2199,Puma,Men
24 FH Rubber Running Shoes For Men,6999,5599,Puma,Men
Pacer Fire IDP Casuals For Men,4499,1935,Puma,Men
Puma Walter Running Shoes For Men,4499,2699,Puma,Men
Pacer Styx IDP Sneakers For Men,4499,2699,Puma,Men
Puma Exotine 2.0 IDP Running Shoes For Men,7499,4999,Puma,Men
Pacer 23 Sneakers For Men,5499,3549,Puma,Men
Cricket Alrounder Cricket Shoes For Men,11999,2579,Puma,Men
RS-X Efekt PRM Sneakers For Men,3999,7199,Puma,Men
Pacer Slip on V3 Sneakers For Men,7499,2199,Puma,Men
Solarstrike III Badminton Shoes For Men,9999,4124,Puma,Men
Exotine 2.0 Running Shoes For Men,3299,4999,Puma,Men
Mercedes-AMGSuede T Casuals For Men,4999,5499,Puma,Men
CA Pro Classic Sneakers For Men,11999,4399,Puma,Men
FTR Connect Running Shoes For Men,4499,2749,Puma,Men
VITORIA TT Football Shoes For Men,2474,2474,Puma,Men
FUTURE 7 MATCH TT Football Shoes For Men,4399,4399,Puma,Men
